#,,,,,,,,
#,,,,,,,,
# US Geological Survey,,,,,,,,
# retrieved: 2023-10-09 10:15:14 EDT,,,,,,,,
# URL: https://nwis.waterdata.usgs.gov/nwis/qwdata,,,,,,,,
#,,,,,,,,
"# The Site File stores location and general information about groundwater,",,,,,,,,
"# surface water, and meteorological sites",,,,,,,,
# for sites in USA.,,,,,,,,
#,,,,,,,,
# The following selected fields are included in this output:,,,,,,,,
#,,,,,,,,
#  agency_cd       -- Agency,,,,,,,,
#  site_no         -- Site identification number,,,,,,,,
#  station_nm      -- Site name,,,,,,,,
#  site_tp_cd      -- Site type,,,,,,,,
#  dec_lat_va      -- Decimal latitude,,,,,,,,
#  dec_long_va     -- Decimal longitude,,,,,,,,
#  coord_acy_cd    -- Latitude-longitude accuracy,,,,,,,,
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum,,,,,,,,
#  well_depth_va   -- Well depth,,,,,,,,
#,,,,,,,,
#,,,,,,,,
# query started 2023-10-09 10:15:14 EDT,,,,,,,,
#,,,,,,,,
# there are 4022 sites matching the search criteria.,,,,,,,,
#,,,,,,,,
#,,,,,,,,
agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,well_depth_va
USGS,412330070424401,MA-CNW   34,GW,41.39177899,-70.711695,S,NAD83,23
USGS,412342070310501,MA-ENW   25,GW,41.3951159,-70.5175266,S,NAD83,57.5
USGS,412346070353401,MA-ENW   50,GW,41.39622557,-70.59224957,S,NAD83,749
USGS,412346070353403,"MA-ENW   52 EDGARTOWN, MA",GW,41.39622557,-70.59224957,S,NAD83,64
USGS,412346070353404,MA-ENW   53,GW,41.39622557,-70.59224957,S,NAD83,95.2
USGS,412346070353405,MA-ENW   54,GW,41.39622557,-70.59224957,S,NAD83,134
USGS,412346070353406,MA-ENW   55,GW,41.39622557,-70.59224957,S,NAD83,153
USGS,412346070353407,MA-ENW   56,GW,41.39622557,-70.59224957,S,NAD83,185
USGS,412413070394101,MA-XEW   30,GW,41.40372399,-70.6608614,S,NAD83,75
USGS,412419070321001,MA-ENW   70,GW,41.4053929,-70.5355825,S,NAD83,11.4
USGS,412419070321002,MA-ENW   71,GW,41.4053929,-70.5355825,S,NAD83,43
USGS,412419070321003,MA-ENW   72,GW,41.4053929,-70.5355825,S,NAD83,87
USGS,412419070321004,MA-ENW   73,GW,41.4053929,-70.5355825,S,NAD83,136
USGS,412530070395601,MA-XEW   28,GW,41.425112,-70.6650285,S,NAD83,162
