OID_,SOURCE_ID,SITE_NAME,TOWN,REGION,LATITUDE,LONGITUDE,TYPE,ZII_NUM,PWS_ID
2347,4318098-02G,CAPE COMMERCE NOMINEE TRUST,WELLFLEET,4,41.928913520000002,-70.017210610000006,TNC,0,4318098
2348,1124002-03G,GP WELL # 3,HARDWICK,1,42.355156200000003,-72.140921779999999,GW,500,1124002
2349,2037031-01G,BOXBOROUGH COMMONS (629 MASS AVE),BOXBOROUGH,2,42.481993070000001,-71.511090409999994,TNC,0,2037031
2350,4247009-01G,FRANCIS FARM,REHOBOTH,4,41.839523170000000,-71.220886269999994,TNC,0,4247009
2351,4334033-01G,BUDS BY THE BEACH,WESTPORT,4,41.513066250000001,-71.068524870000005,TNC,0,4334033
2352,4172014-02G,CAPE COD CAMP CORPORATION,MASHPEE,4,41.661777399999998,-70.492095800000001,TNC,0,4172014
2353,4172039-0DG,HOLLAND MILLS WELL NO. 5,MASHPEE,4,41.594837140000003,-70.487724209999996,PW,665,4172039
2354,2136000-03G,WASHINGTON ST 3 GRAVEL PACKED WELL,HOLLISTON,2,42.174003370000001,-71.469932439999994,GW,333,2136000
2355,3288000-10G,GP WELL 10,SUDBURY,3,42.382891000000001,-71.432478000000003,GW,154,3288000
2356,3116000-04G,GP WELL 4 MERRIMACK R.,GROVELAND,3,42.772907940000003,-71.024504870000001,GW,355,3116000
2357,1260007-01G,NEW BOSTON INN,SANDISFIELD,1,42.093926789999998,-73.077444479999997,TNC,0,1260007
2358,2179021-01G,DUNKIN DONUTS MENDON,MENDON,2,42.102234279999998,-71.560445509999994,TNC,0,2179021
2359,3301008-04G,WELL 4,TYNGSBOROUGH,3,42.674134299999999,-71.410164620000003,GW,0,3301008
2360,2158000-04G,GPW SPECTACLE POND (WELL 5),LITTLETON,2,42.565558719999999,-71.510542020000003,GW,622,2158000
2361,4036001-02G,PUMP STATION 2,BOURNE,4,41.759253719999997,-70.597000769999994,GW,190,4036001
2362,1311000-01G,COMINS POND TUBULAR WELL FIELD,WARREN,1,42.205422900000002,-72.193235060000006,GW,519,1311000
2363,2054050-01G,ROCK WELL # 1,CHARLTON,2,42.142163449999998,-71.997199150000000,GW,0,2054050
2364,2115000-02G,BADDACOOK POND DUG WELL,GROTON,2,42.614829299999997,-71.530614700000001,GW,3,2115000
2365,4318121-01G,OUR LADY OF LOURDES CHURCH,WELLFLEET,4,41.926843689999998,-70.011735349999995,TNC,0,4318121
2366,1091005-04G,ERVING PAPER MILLS,ERVING,1,42.600466259999997,-72.384821619999997,NTNC,0,1091005
2367,1091005-01G,ERVING PAPER MILLS,ERVING,1,42.599230040000002,-72.383738769999994,NTNC,0,1091005
2368,3342000-06G,ALDRICH RD. GP WELL,WILMINGTON,3,42.550366369999999,-71.208294649999999,GW,151,3342000
2369,4318059-02G,BOOKSTORE  RESTAURANT,WELLFLEET,4,41.930693429999998,-70.032269189999994,TNC,0,4318059
2370,2179006-03G,45 AND 49 UXBRIDGE RD,MENDON,2,42.101255770000002,-71.570798670000002,TNC,0,2179006
2371,2028011-01G,LOWES GENERAL STORE,BERLIN,2,42.381203259999999,-71.636393350000006,TNC,0,2028011
2372,1047000-01G,MOHAWK TRAIL REGIONAL HIGH SCHOOL,BUCKLAND,1,42.616403720000001,-72.756782610000002,NTNC,0,1047000
2373,1313006-01G,BUCKSTEEP MANOR,WASHINGTON,1,42.359388709999998,-73.131833360000002,TNC,0,1313006
2374,4245002-04G,KING PHILIP WELL 3A,RAYNHAM,4,41.939081109999996,-71.067734900000005,GW,327,4245002
2375,2187000-03G,WELL 3,MILLIS,2,42.168983320000002,-71.339976010000001,GW,126,2187000
2376,1150002-01G,COLD SPRING,LEE,1,42.284828120000000,-73.238985299999996,TNC,596,1150002
2377,4266000-04G,GP WELL  5,SHARON,4,42.090914949999998,-71.215562710000000,GW,583,4266000
2378,2226000-02G,"GP WELL 2, N. MAIN STREET",OXFORD,2,42.143560370000003,-71.867849160000006,GW,543,2226000
2379,1256004-01G,AMC NOBLE VIEW OUTDOOR CENTER,RUSSELL,1,42.136132369999999,-72.860891929999994,TNC,0,1256004
